timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,accuracy,purity,ari,modularity,composite_score,elapsed_sec
2026-05-10 10:37:55,coarse,10,0.5,Leiden,439,25.011390,0.675624,0.284426,0.330419,0.109951,0.904914,0.372118,2.178071
2026-05-10 10:37:55,coarse,10,0.5,Louvain,414,26.521739,0.669282,0.280328,0.322040,0.116771,0.900498,0.368765,2.147962
2026-05-10 10:37:57,coarse,10,1.0,Leiden,508,21.614173,0.703404,0.314572,0.380692,0.148141,0.897145,0.403114,2.107382
2026-05-10 10:37:57,coarse,10,1.0,Louvain,484,22.685950,0.695064,0.304736,0.366667,0.142461,0.895041,0.394169,2.072338
2026-05-10 10:37:59,coarse,10,2.0,Leiden,587,18.705281,0.721596,0.332149,0.418124,0.165876,0.889421,0.421559,2.027713
2026-05-10 10:37:59,coarse,10,2.0,Louvain,558,19.677419,0.716061,0.327869,0.405464,0.169651,0.887762,0.417529,2.006141
2026-05-10 10:38:01,coarse,10,5.0,Leiden,701,15.663338,0.742991,0.359927,0.471038,0.198760,0.877071,0.449333,1.883942
2026-05-10 10:38:01,coarse,10,5.0,Louvain,675,16.266667,0.739545,0.354007,0.460656,0.194627,0.875077,0.443926,1.869057
2026-05-10 10:38:03,coarse,10,10.0,Leiden,804,13.656716,0.756150,0.366120,0.505282,0.208610,0.865133,0.459366,1.955606
2026-05-10 10:38:03,coarse,10,10.0,Louvain,775,14.167742,0.751852,0.361658,0.493716,0.207073,0.863870,0.454825,1.800356
2026-05-10 10:38:05,coarse,10,20.0,Leiden,927,11.844660,0.766966,0.367577,0.540164,0.214608,0.848326,0.465806,1.902988
2026-05-10 10:38:05,coarse,10,20.0,Louvain,903,12.159468,0.765517,0.368397,0.534608,0.215194,0.848396,0.465462,1.854317
2026-05-10 10:38:07,coarse,10,40.0,Leiden,1088,10.091912,0.778370,0.362477,0.578051,0.214245,0.822267,0.467968,1.901048
2026-05-10 10:38:07,coarse,10,40.0,Louvain,1059,10.368272,0.776271,0.360474,0.570128,0.211672,0.822663,0.465388,1.890233
2026-05-10 10:38:09,coarse,10,80.0,Leiden,1261,8.707375,0.787237,0.351821,0.616302,0.210333,0.789124,0.465994,1.920499
2026-05-10 10:38:09,coarse,10,80.0,Louvain,1244,8.826367,0.786045,0.350911,0.611749,0.207828,0.788169,0.464422,1.883757
2026-05-10 10:38:11,coarse,15,0.5,Leiden,208,52.788462,0.648426,0.251184,0.271220,0.099179,0.845901,0.339571,1.996655
2026-05-10 10:38:11,coarse,15,0.5,Louvain,183,60.000000,0.638463,0.248087,0.260929,0.106181,0.841296,0.335821,1.958573
2026-05-10 10:38:14,coarse,15,1.0,Leiden,262,41.908397,0.674011,0.287158,0.317213,0.120879,0.838543,0.370162,1.966913
2026-05-10 10:38:14,coarse,15,1.0,Louvain,234,46.923077,0.667935,0.279417,0.303005,0.129461,0.833716,0.364701,1.959084
2026-05-10 10:38:16,coarse,15,2.0,Leiden,328,33.475610,0.701663,0.321311,0.362295,0.160185,0.825395,0.402515,1.942811
2026-05-10 10:38:16,coarse,15,2.0,Louvain,303,36.237624,0.693073,0.314481,0.350638,0.154196,0.820946,0.395095,1.934195
2026-05-10 10:38:18,coarse,15,5.0,Leiden,444,24.729730,0.728309,0.354372,0.420856,0.200915,0.804762,0.435308,1.935644
2026-05-10 10:38:18,coarse,15,5.0,Louvain,422,26.018957,0.724615,0.351913,0.412113,0.193187,0.802455,0.431191,1.915216
2026-05-10 10:38:20,coarse,15,10.0,Leiden,549,20.000000,0.745290,0.363297,0.460747,0.211742,0.784752,0.447780,1.950361
2026-05-10 10:38:20,coarse,15,10.0,Louvain,525,20.914286,0.741695,0.361840,0.455009,0.214392,0.781696,0.446003,1.844125
2026-05-10 10:38:22,coarse,15,20.0,Leiden,663,16.561086,0.757950,0.376230,0.500455,0.226825,0.761610,0.461854,1.923090
2026-05-10 10:38:22,coarse,15,20.0,Louvain,642,17.102804,0.754801,0.370583,0.491803,0.223785,0.759282,0.456964,1.907809
2026-05-10 10:38:24,coarse,15,40.0,Leiden,816,13.455882,0.769974,0.377049,0.539071,0.232161,0.729370,0.467719,1.867903
2026-05-10 10:38:24,coarse,15,40.0,Louvain,792,13.863636,0.768674,0.376867,0.534153,0.235250,0.727401,0.467241,1.883775
2026-05-10 10:38:26,coarse,15,80.0,Leiden,998,11.002004,0.781499,0.367213,0.581694,0.228310,0.677668,0.466206,1.903131
2026-05-10 10:38:26,coarse,15,80.0,Louvain,987,11.124620,0.779908,0.365938,0.578962,0.227801,0.677376,0.464886,1.882085
2026-05-10 10:38:28,coarse,20,0.5,Leiden,131,83.816794,0.626551,0.222951,0.233515,0.087621,0.803137,0.313437,1.979107
2026-05-10 10:38:28,coarse,20,0.5,Louvain,110,99.818182,0.612635,0.209836,0.217760,0.069937,0.798635,0.299643,1.970788
2026-05-10 10:38:30,coarse,20,1.0,Leiden,180,61.000000,0.661789,0.267577,0.285883,0.130479,0.788465,0.353730,1.904519
2026-05-10 10:38:30,coarse,20,1.0,Louvain,160,68.625000,0.654523,0.259745,0.271038,0.121574,0.783313,0.345283,1.904284
2026-05-10 10:38:32,coarse,20,2.0,Leiden,246,44.634146,0.690103,0.308652,0.335337,0.163042,0.773534,0.389013,2.034800
2026-05-10 10:38:32,coarse,20,2.0,Louvain,222,49.459459,0.681194,0.304281,0.325592,0.151804,0.767629,0.382090,2.083616
2026-05-10 10:38:35,coarse,20,5.0,Leiden,357,30.756303,0.719888,0.348179,0.396448,0.189829,0.746600,0.423516,2.008377
2026-05-10 10:38:35,coarse,20,5.0,Louvain,333,32.972973,0.717387,0.343989,0.387250,0.196828,0.742633,0.420853,2.034943
2026-05-10 10:38:37,coarse,20,10.0,Leiden,451,24.345898,0.738637,0.368124,0.437796,0.221379,0.722953,0.444923,2.146503
2026-05-10 10:38:37,coarse,20,10.0,Louvain,427,25.714286,0.735457,0.365483,0.432423,0.217854,0.720873,0.441797,2.075361
2026-05-10 10:38:39,coarse,20,20.0,Leiden,577,19.029463,0.753993,0.381603,0.482605,0.238611,0.691256,0.460215,2.046680
2026-05-10 10:38:39,coarse,20,20.0,Louvain,557,19.712747,0.751791,0.377140,0.476230,0.234345,0.687289,0.456068,2.009585
2026-05-10 10:38:41,coarse,20,40.0,Leiden,732,15.000000,0.768226,0.383242,0.528689,0.240635,0.647584,0.466610,2.031547
